                user     system      total        real
find        9.080000   2.820000  11.900000 ( 12.719397)
Thread ID: 70365856317800
Total: 11.900000

 %self     total     self     wait    child    calls  name
  0.17      0.35     0.02     0.00     0.33    10000  Arel::Sql::Formatter#name_for (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/formatters.rb:5}
  0.17      0.02     0.02     0.00     0.00    60019  Kernel#object_id (ruby_runtime:0}
  0.17      0.03     0.02     0.00     0.01    20000  Arel::Compound#taken (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.17      0.02     0.02     0.00     0.00    10000  Arel::Compound#sources(d2) (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/relations/utilities/compound.rb:5}
  0.17      0.06     0.02     0.00     0.04    20000  Array#extract_options! (/home/miles/c/rails/activesupport/lib/active_support/core_ext/array/extract_options.rb:22}
  0.17      0.14     0.02     0.00     0.12    10000  Hash#assert_valid_keys (/home/miles/c/rails/activesupport/lib/active_support/core_ext/hash/keys.rb:41}
  0.17      0.02     0.02     0.00     0.00    20000  Arel::Header#to_ary (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/algebra/header.rb:34}
  0.17      0.02     0.02     0.00     0.00    10002  Array#shift (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    10000  <Class::ActiveRecord::Base>#raise_if_bind_arity_mismatch (/home/miles/c/rails/activerecord/lib/active_record/base.rb:1313}
  0.17      0.02     0.02     0.00     0.00    40000  Array#last (ruby_runtime:0}
  0.17      2.76     0.02     0.00     2.74    10000  ActiveRecord::ConnectionAdapters::PostgreSQLAdapter#select (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/postgresql_adapter.rb:965}
  0.17      0.06     0.02     0.00     0.04    10000  Arel::Relation#christener (/data/web/arch/1/lib/ruby/gems/1.8/bundler/gems/arel-e589a1e/lib/arel/engines/sql/relations/relation.rb:17}
  0.17      0.02     0.02     0.00     0.00    20000  Array#initialize_copy (ruby_runtime:0}
  0.17      0.02     0.02     0.00     0.00    40007  Module#const_get (ruby_runtime:0}
  0.17      2.81     0.02     0.00     2.79    10000  ActiveRecord::ConnectionAdapters::QueryCache#select_all (/home/miles/c/rails/activerecord/lib/active_record/connection_adapters/abstract/query_cache.rb:52}
